patient_id,nhs_number,local_patient_id,date_of_birth,gender_code,ethnicity_code,postcode
1,1663505671,LOC2361Uh,1933-08-06,,A,B6C 3HD
2,0826076424,LOC2361Uh,1958-07-05,2,A,B9 3UX
3,7911561518,LOC9671vO,1932-07-03,2,C,G5D 7ZU
4,9468196551,LOC5693tP,1986-06-02,1,A,SN0 1FH
5,1118645408,LOC0326tX,1999-02-25,,C,SR56 7DQ
6,2341047325,LOC0847Fs,1966-12-22,1,Z,IM54 9NP
7,0387426367,LOC1606cq,1988-04-08,2,C,
8,5367132577,LOC1279sD,1990-06-29,9,D,DT7 3PA
9,2919661927,LOC4528DS,1959-04-04,1,D,EC5 7AB
10,9042495715,LOC2332Ad,1961-12-01,,Z,N7 1XS
11,7869381775,LOC0920fy,1955-04-12,9,D,L60 6EZ
12,2603855069,LOC7751yn,1946-03-17,9,Z,L3 2GA
13,1687713807,LOC4784Rq,2002-04-08,2,B,KW3 5EN
14,2117384429,LOC8071fl,1978-06-26,9,C,S7T 6LU
15,7285621541,LOC1831HL,1990-04-12,1,C,W7 7YJ
16,6835159746,LOC3614ns,1990-02-11,1,A,WA5H 0AR
17,1673137061,LOC2049yl,1976-03-28,2,D,HG0N 7QG
18,4082428188,LOC1094tE,1931-07-03,1,A,HP8A 7ZF
19,8201581902,LOC0520Il,1924-09-18,2,B,WA4X 1BW
20,1461608661,LOC4297hL,1937-04-09,9,C,W70 1YY
21,7571728247,LOC2336fu,1943-12-09,,Z,E1W 9GE
22,9568539784,LOC3369ri,1997-04-30,1,C,W5 3JE
23,6783987879,LOC9454RR,1956-11-17,2,C,G2 1SX
24,8521563244,LOC3172ls,1937-05-08,2,B,SL34 9XJ
25,1332892624,LOC9776WH,2002-01-10,2,D,SO73 4HS
26,0754407529,LOC8561tJ,1921-12-11,2,B,TD4V 3ZF
27,4663716047,LOC4335uT,1939-02-01,2,D,W6 0SN
28,1082177480,LOC1364Wb,1985-04-18,1,Z,CM92 1PT
29,4432636915,LOC0158vC,1943-05-14,1,C,RG43 4YS
30,3606961473,LOC5469ZD,2001-02-17,2,Z,NE0N 6JL
31,2827401241,LOC1384tQ,1957-06-21,9,A,BH5 6LH
32,8287937697,LOC9204OY,1917-10-29,2,D,B9U 4FP
33,7421988139,LOC9915JA,1992-02-26,2,B,HU1 0NU
